url,label
http://110.36.26.130:37045/i,1
https://earthweb.com/product/laptop-pro-2024,0
http://110.39.247.164:59492/bin.sh,1
https://basecamp.com/category/finance,0
http://152.173.210.187:8080/sshd,1
https://yellowpages.com/faq,0
http://69sexy.duckdns.org:6969/heilong.sh4,1
https://welivesecurity.com/investors,0
http://154.242.14.239:33323/i,1
http://104.251.180.211/m68k,1
http://de.cloud.dxang.com/bins/manji.i486,1
http://176.65.139.18/bot.mipsrouter,1
http://171.38.87.0:47753/bin.sh,1
http://176.65.139.68//arm5,1
http://91.92.242.236/files-129312398/files/file_53bcb69c7af4ffe6.exe,1
https://docker.com?page=2,0
http://176.65.139.177/bot.m68k,1
https://kitchenaid.com/download/stable,0
http://112.246.16.40:43957/i,1
http://vpn741123374.softether.net/bins/arm,1
https://justsecurity.org/support/faq/billing,0
https://global-cloud-infra-logic-manual.wiki/320ed27c-6dc9-41cf-ac71-9156ee8bf719/google.ct,1
https://qrz.com/issues/1234,0
https://hotjar.com/overview,0
http://115.58.135.72:43125/i,1
https://click2houston.com?page=1,0
http://182.127.190.25:55190/i,1
http://115.53.56.76:36157/i,1
https://sourceforge.net?source=nav&medium=cpc,0
http://89.190.156.61/bins/dlr.arm6,1
https://maine.edu/search?q=best+practices,0
https://ibm.com/features,0
https://getgrav.org/guides,0
https://alz.org/signin,0
https://kaiserpermanente.org/contact,0
http://110.36.15.1:38386/bin.sh,1
https://mp.br/services,0
https://aps.org/articles,0
https://dataliberation.org/plans,0
http://221.15.23.190:46819/i,1
http://182.127.127.132:33282/i,1
https://paloaltonetworks.com/services,0
https://wetter.com/download/latest,0
https://16personalities.com/dp/B07XJ8C8F5?ref=sr_1_1,0
https://cluster-module-deployment-standard-map.wiki/b154dfa3-8166-44d4-baf5-63b6f48d9fa8/google.ct,1
http://46.151.182.23/bins/bins/bin.armv4eb,1
http://110.39.246.147:46024/bin.sh,1
https://bernama.com/profile,0
https://manilatimes.net/search?q=how+to+install,0
http://182.112.92.80:33447/bin.sh,1
https://lanhoppath.openapiservicex.pics/99c7fa93-4d32-47c2-84f9-163f7755f5e3/check.rock,1
https://ionos.co.uk?page=1,0
https://xuebody.com/cookies,0
https://lws.fr/tag/python,0
https://therecord.media/help,0
http://110.36.0.157:34258/bin.sh,1
http://119.52.128.201:54273/i,1
https://consortiumnews.com/search?q=best+practices,0
https://mos.ru/search?q=tutorial,0
https://dynadot.com/2024/01/article-title,0
https://wapo.st/signup,0
https://drive.google.com/uc?export=download&id=1DLAZBGZUQC7wa5iBjxj_MRl1RTp6l8vS,1
http://123.4.44.212:49087/i,1
https://floriculture-mastery.garden/a901e700-1b04-4503-80f0-5fe9a8be5043/google.cl,1
https://myspace.com/en/about,0
http://176.65.139.164/zxc.sh,1
https://disneyplus.com/blog,0
http://110.37.23.36:54873/i,1
https://drive.google.com/uc?export=download&id=1RrfTr30qYyhi17TimrOv6ylE7GLsbEmk,1
https://bshare.cn/legal,0
http://176.65.139.77/hiddenbin/boatnet.arm7,1
https://toptal.com/home,0
https://service-public.fr/tag/python,0
